Body name,Body,"Request ref","Request summary","Receipt date","Complete date","Derived working days","Outcome","Service area"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102922","The Institute of Occupational Medicine (www.iom-world.org) is making a request for information on your current contract(s) for asbestos related services.  We wish to know;  1.	name of current provider(s) for asbestos survey services  2.	name of current provider(s) for asbestos monitoring/analysis services (if different)  3.	expiry date / renewal date of current contract(s)",28/10/2010 00:00:00,08/11/2010 00:00:00,7,"Information Provided","Property & Building Services (Environment & Regeneration)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102927","How many children did you take into care (either interim or full) in the last financial year 09/10 where the obesity of the child was cited as a factor in the care proceedings?   If so please give (a) the age of the child and (b) the BMI of the child.",29/10/2010 00:00:00,01/11/2010 00:00:00,1,"Information Provided","Childrens Trust (Childrens Services)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102929","any motions that have been passed / rejected by the council that have argued for banning shops / outlets in the council area from selling a particular foodstuff or drink.",29/10/2010 00:00:00,03/11/2010 00:00:00,3,"Information Provided","Community Safety (Environment & Regeneration)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102925","Please provide me with details of the parking options of      non-resident vistors with solo motorcycles in the borough of      Redbridge, both on-street and off-street.",29/10/2010 00:00:00,04/11/2010 00:00:00,4,"Information Provided","Highways and Engineering Services (Environment & Regeneration)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102928","records of reported details of domestic violence/domestic abuse re children",29/10/2010 00:00:00,23/11/2010 00:00:00,17,"Information Provided","Childrens Trust (Childrens Services)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102948","confirmation of ownership of land in Telegraph Mews.",29/10/2010 00:00:00,23/11/2010 00:00:00,17,"Information Provided","Community Safety (Environment & Regeneration)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102926","Employment of security personnel",29/10/2010 00:00:00,23/11/2010 00:00:00,17,"Information Provided","Community Safety (Environment & Regeneration)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102931","information regarding school admissions",29/10/2010 00:00:00,26/11/2010 00:00:00,20,"Information Provided","Childrens Services (Childrens Services)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102930","information regarding public car parks and parking appeals.",30/10/2010 00:00:00,24/11/2010 00:00:00,17,"Information Provided","Highways and Engineering Services (Environment & Regeneration)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102934","information regarding persons who have died with no known next of kin since 1st February 2010 to the present day and to include any 'pending' cases that may shortly pass to the Treasury Solicitor.",01/11/2010 00:00:00,25/11/2010 00:00:00,18,"Information already available elsewhere","Corporate request"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102939","Information on Redbridge Conversation 2010",01/11/2010 00:00:00,25/11/2010 00:00:00,18,"Information Provided","Strategic Services (Customer Service & Performance)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102933","information ,regarding the composition and administration of your statutory  (adult and children's) social care complaints functions",01/11/2010 00:00:00,29/11/2010 00:00:00,20,"Information Provided","Adult Social Services (Adult Social Services)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102932","The amount spent on the community play area in the playground of Wanstead High School and the cost of keeping the floodlights on at night.",01/11/2010 00:00:00,04/11/2010 00:00:00,3,"Information Provided","Culture, Sport & Community Learning (Housing & Community Services)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102936","Information regarding use of RIPA since 12/5/10.",02/11/2010 00:00:00,12/11/2010 00:00:00,8,"Information already available elsewhere","Corporate request"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102935","The amount spent by the council on Christmas decorations in public spaces between 2007 and 2009.  Any documentation produced by the council during that period in order to guide the purchasers of illuminated decorations relating to energy efficiency and sustainability.",02/11/2010 00:00:00,21/12/2010 00:00:00,35,"Information Provided","Planning and Regeneration (Environment & Regeneration)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102937","I should be grateful if you, or an appropriate member of your staff, would let me know whether annual fees for membership of professional and similar associations (eg SOLACE, CIPFA, etc) in respect of individual officers employed by the council are paid by the individual members or by the council.   If the latter, then what is the total amount paid annually?",02/11/2010 00:00:00,24/11/2010 00:00:00,16,"Information Provided","Corporate request"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102973","Application for statistics under the Freedom of Information Act regarding catholic schools",02/11/2010 00:00:00,22/11/2010 00:00:00,14,"Information not held","Childrens Services (Childrens Services)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102940","Information re fencing at Charteris Road car park",03/11/2010 00:00:00,24/11/2010 00:00:00,15,"Information Provided","Highways and Engineering Services (Environment & Regeneration)"
